year,one_year_interest_rate,long_government_bond_yield,consumer_price_index,return_on_s_and_p_composite
1871,6.35,5.32,12.464061,0.135808914663245
1872,7.81,5.36,12.654392,0.0886154174615551
1873,8.35,5.58,12.939807,0.0215897018543955
1874,6.86,5.47,12.368896,0.122790276614688
1875,4.96,5.07,11.512651,0.11284278830136
1876,5.33,4.59,10.846575,-0.144279170238137
1877,5.03,4.45,10.94174,0.14883493098437
1878,4.9,4.34,9.2290893,0.289896117400181
1879,4.25,4.22,8.2776793,0.228967026846212
1880,5.1,4.02,9.9903306,0.338734704444969
1881,4.79,3.7,9.4194198,-0.0672922778558491
1882,5.26,3.62,10.18058,0.055191851127448
1883,5.35,3.63,9.9903306,0.0265886973040795
1884,5.65,3.62,9.2290893,-0.0206636184560518
1885,4.22,3.52,8.2776793,0.32884263014938
1886,4.26,3.37,7.9922321,0.115384615384615
1887,6.11,3.52,7.9922321,-0.0488792653801274
1888,5.02,3.67,8.3728446,0.079189592457514
1889,4.68,3.45,7.9922321,0.122137068313857
1890,5.41,3.42,7.6116519,-0.0824189361417394
1891,5.97,3.62,7.801942,0.26076009559031
1892,3.93,3.6,7.3262127,-0.015044425524111
1893,8.52,3.75,7.8970911,-0.0609271984837915
1894,3.32,3.7,6.8504835,0.0772937485955516
1895,3.09,3.46,6.5650524,0.0344208960164111
1896,5.76,3.6,6.6601934,0.0607519828153166
1897,3.44,3.4,6.4699033,0.164793705575722
1898,3.55,3.35,6.6601934,0.268759447994158
1899,3.36,3.1,6.7553425,-0.112218675571799
1900,4.64,3.15,7.8970911,0.238029839223788
1901,4.3,3.1,7.7067929,0.165009786001704
1902,4.72,3.18,7.8970911,-0.0126539438363445
1903,5.5,3.3,8.6582595,-0.130825526012051
1904,4.34,3.4,8.2776793,0.278987688321596
1905,4.17,3.48,8.4679289,0.209964412811388
1906,5.47,3.43,8.4679289,-0.0342843115635313
1907,6.23,3.67,8.8485091,-0.22069199047651
1908,5.32,3.87,8.6582595,0.336950053372175
1909,3.65,3.76,8.9436744,0.0494952291004107
1910,5.26,3.91,9.8951653,0.0360068575530894
1911,4,3.98,9.2290893,0.0452892312190865
1912,4.35,4.01,9.134005,-0.000508314312566864
1913,5.65,4.45,9.8,-0.0674193548387098
1914,4.64,4.16,10,-0.0654979476442266
1915,3.65,4.24,10.1,0.26717400246812
1916,3.64,4.05,10.4,-0.0348934143146361
1917,4.25,4.23,11.7,-0.31012091356919
1918,5.98,4.57,14,-0.00912032950867915
1919,5.56,4.5,16.5,0.0193722979439623
1920,7.3,4.97,19.3,-0.123407045359719
1921,7.44,5.09,19,0.227040837556904
1922,4.58,4.3,16.9,0.296713959556425
1923,4.96,4.36,16.8,0.0212898616613626
1924,4.34,4.06,17.3,0.260475651189128
1925,3.87,3.86,17.3,0.210384302626438
1926,4.28,3.68,17.9,0.139293054771316
1927,4.26,3.34,17.5,0.381459753256837
1928,4.64,3.33,17.3,0.483782187928463
1929,6.01,3.6,17.1,-0.0876910699919548
1930,4.15,3.29,17.1,-0.15983417779825
1931,2.43,3.34,15.9,-0.365430564429313
1932,3.36,3.68,14.3,0.0137013168954889
1933,1.46,3.31,12.9,0.513463264521093
1934,1.01,3.12,13.2,-0.105843286081036
1935,0.75,2.79,13.6,0.51444580085767
1936,0.75,2.65,13.8,0.302356506679862
1937,0.88,2.68,14.1,-0.316388953390611
1938,0.88,2.56,14.2,0.166742452949349
1939,0.56,2.36,14,0.0410359712230215
1940,0.56,2.21,13.9,-0.100743815948798
1941,0.53,1.95,14.1,-0.179376339541763
1942,0.63,2.46,15.7,0.11104779448306
1943,0.69,2.47,16.9,0.199400795142567
1944,0.72,2.48,17.4,0.165609443891339
1945,0.75,2.37,17.8,0.354295815378098
1946,0.76,2.19,18.2,-0.252138450816922
1947,1.01,2.25,21.5,-0.0653911345245329
1948,1.35,2.44,23.7,0.0847184760620364
1949,1.58,2.31,24,0.19813829787234
1950,1.32,2.32,23.5,0.243096242116655
1951,2.12,2.57,25.4,0.156876873671195
1952,2.39,2.68,26.5,0.136266151115697
1953,2.58,2.83,26.6,0.0164204918195735
1954,1.8,2.48,26.9,0.469685869881815
1955,1.81,2.61,26.7,0.281436567164179
1956,3.21,2.9,26.8,0.0374349631526252
1957,3.86,3.46,27.6,-0.0884954798668204
1958,2.54,3.09,28.6,0.375940896283376
1959,3.74,4.02,29,0.0652121354927941
1960,4.28,4.72,29.3,0.0448952000064766
1961,2.91,3.84,29.8,0.182452556374191
1962,3.39,4.08,30,-0.0400185166840655
1963,3.5,3.83,30.4,0.190532612664237
1964,4.09,4.17,30.9,0.148042964230015
1965,4.46,4.19,31.2,0.0941468245274253
1966,5.44,4.61,31.8,-0.0955798722440156
1967,5.55,4.58,32.9,0.119156036385166
1968,6.17,5.53,34.1,0.0593561433624637
1969,8.05,6.04,35.6,-0.137299616915454
1970,9.11,7.79,37.8,0.0162132776605873
1971,5.66,6.24,39.8,0.101780926125307
1972,4.62,5.95,41.1,0.135424648569052
1973,7.93,6.46,42.6,-0.231970226001437
1974,11.03,6.99,46.6,-0.291228001504195
1975,7.24,7.5,52.1,0.298388136238529
1976,5.7,7.74,55.6,0.0583635558238078
1977,5.28,7.21,58.5,-0.144156439649359
1978,7.78,7.96,62.5,0.0624059570981859
1979,10.88,9.1,68.3,0.025894889524093
1980,11.37,10.8,77.8,0.12219177684541
1981,17.63,12.57,87,-0.140273629521677
1982,14.6,14.59,94.3,0.242591271269428
1983,9.37,10.46,97.8,0.154085680451541
1984,11.11,11.67,101.9,0.039889211351507
1985,8.35,11.38,105.5,0.212087531267851
1986,7.31,9.19,109.6,0.291440338290873
1987,6.25,7.08,111.2,-0.0578607426193741
1988,7.63,8.67,115.7,0.12583219244649
1989,9.29,9.09,121.1,0.169094893754156
1990,8.43,8.21,127.4,-0.0601179695035586
1991,6.92,8.09,134.6,0.282413798856769
1992,3.91,7.03,138.1,0.0418538362322706
1993,3.44,6.6,142.6,0.0881911172773943
1994,4.35,5.75,146.2,-0.0161117822988105
1995,6.45,7.78,150.3,0.314407861949534
1996,5.68,5.65,154.4,0.23375671692216
1997,5.78,6.58,159.1,0.257754620147614
1998,5.68,5.54,161.6,0.291502969470921
1999,5.31,4.72,164.3,0.124170657860985
2000,6.61,6.66,168.8,-0.0858105102928336
2001,4.63,5.16,175.1,-0.144302094639161
2002,1.85,5.04,177.1,-0.220473710205948
2003,1.18,4.05,181.7,0.259352607078092
2004,1.49,4.15,185.2,0.0297532502936361
2005,3.41,4.22,190.7,0.0589804477459628
2006,5.32,4.42,198.3,0.110144203743057
2007,5.34,4.76,202.416,-0.0533925505592295
2008,3.42,3.74,211.18,-0.351499422421661
2009,1.02,2.52,211.143,0.290082386500757
2010,0.45,3.73,216.687,0.143123507496116
2011,0.37,3.39,220.223,0.00520443926653524
2012,,1.97,226.665,0.144043191885424
2013,,1.91,230.28,
2014,,2.86,233.916,
2015,,1.88,233.707,
2016,,,,
2010,0.45,3.73,216.687,0.143123507496116
2011,0.37,3.39,220.223,0.00520443926653524
2012,,1.97,226.665,0.144043191885424
2013,,1.91,230.28,
2014,,2.86,233.916,
2015,,1.88,233.707,
2016,,,,
